DEP;LIBDEP;DEPCOM;COM;LIBCOM;INDTLV;EXOTHMEUZRRDAT;EXOTHCHAMHOTZRRDAT;THLVDAT;THSURTAXRSDAT;THSURTAXRSTAU;EXOCREENODAT;EXOCREENODUR;EXOREPENODAT;EXOREPENODUR;EXOCREREPDAT;EXOCREREPDUR;CASERNEDAT;BUDDAT;ZDPCORSEDAT;ZRCDAT;ZRCTAU;ZRVDAT;ZRVTAU;EXOFBHOTZRRDAT;EXOFBMEUZRRDAT;EXOFBCHAMHOTZRRDAT;EXOFOUDAT;EXOSERVHOSPDAT;EXOMAISSANTDAT;EXOMAISSANTTAU;EXOMAISSANTDUR;MAGDAT;MAGTAU;ASSOANIMAUXDAT;ANTPOLEAUDAT;ANTPOLAIRDAT;BIOGAZDAT;EXOPOLLUDAT;DECNONDANDAT;HYDROBIODIVDAT;EXOJEUDAT;EXOPOLCOMPDAT;RECHINDUSDAT;AGBDOMTAU;AGBDOMDAT;EXOLOGDUR;EXOLOGTAU;EXOLOGDAT;EXOREHDUR;EXOREHTAU;EXOREHDAT;EXOLOGENERDUR;EXOLOGENERTAU;EXOLOGENERDAT;EXOECONOUDUR;EXOECONOUTAU;EXOECONOUDAT;EXORISQTECHTAU;EXORISQTECHDAT;EXORISQMINTAU;EXORISQMINDAT;EXORISQSANTAU;EXORISQSANDAT;EXOLOCZRRDAT;HLMSEMDUR;HLMSEMDAT;EXOFBCAMPUSDAT;EXOEXCLUDAT;LOGBURDAT;LOFTDAT;LOGSOLDAT;LOGSOLTAU;LOGREHABDAT;SUPEXO2ANLOC;SUPEXO2ANLOCTAU;SUPEXO2ANPAP;SUPEXO2ANPAPTAU;SUPLOGDOMDAT;SUPLOGDOMTAU;SUPMAYOTDAT;SUPZFUDAT;SUPZFDOMDAT;SUPZFDOMTAU;SUPBERDAT;SUPQPDAT;SUPLOCEPFDAT;SUPPORTDAT;SUPPORTTAU;SUPEXOREHABDAT;SUPEXOLOGSOC;SUPEXOLOGEPINORPA;LISSAUGVLDAT;TAXFRICHTAU;TAXFRICHTAU1;TAXFRICHTAU2;TAXFRICHDAT;TAXFRICHBEN;MONMAJPOS;MAJPOSDAT;MAJTERCONSDAT;MAJTERCONSMON;SUPREDTERCONSDAT;EXOTRUDAT;EXONOYDAT;EXONOYDUR;EXOOLIDAT;AGRIBIODAT;EXOVIGNEDAT;EXOVIGNEDUR;EXOOREDAT;DEGJAGDUR2;DEGJAGDAT2;DEGJAGDUR3;DEGJAGDAT3;DEGJAGDUR4;DEGJAGDAT4;DEGJAGDUR5;DEGJAGDAT5;DEGJAGDUR6;DEGJAGDAT6;TAFNBDAT;SUPABATMAYDAT;BAZMINCFE1MT;BAZMINCFE1DAT;BAZMINCFE2MT;BAZMINCFE2DAT;BAZMINCFE3MT;BAZMINCFE3DAT;BAZMINCFE4MT;BAZMINCFE4DAT;BAZMINCFE5MT;BAZMINCFE5DAT;BAZMINCFE6MT;BAZMINCFE6DAT;BAZMINCFE0PARTAU;BAZMINCFE0PARDAT;BAZMINCFE2PARTAU;BAZMINCFE2PARDAT;BAZMINCFE3PARTAU;BAZMINCFE3PARDAT;BAZMINCFE4PARTAU;BAZMINCFE4PARDAT;BAZMINCFE5PARTAU;BAZMINCFE5PARDAT;BAZMINCFE6PARTAU;BAZMINCFE6PARDAT;EXOENOCREDUR;EXOENOCREDAT;EXOENOREPDUR;EXOENOREPDAT;EXOCREREPDAT2;EXOCREREPDUR2;EXO3AENCREAEXDAT;EXOJEUDAT2;EXOPOLCOMPDAT2;RECHINDUSDAT2;EXOZUSCREDUR;EXOZUSCRETAU;EXOZUSCREDAT;EXOZUSEXTDUR;EXOZUSEXTTAU;EXOZUSEXTDAT;CASERNEDAT2;ACTENSDAT;BUDDAT2;ZDPCORSEDAT2;ZRCDAT2;ZRCTAU2;ZRVDAT2;ZRVTAU2;SPENATTAU;SPENATDAT;SPETHETAU;SPETHEDAT;SPETOUTAU;SPETOUDAT;SPECONTAU;SPECONDAT;SPEVARTAU;SPEVARDAT;SPEVIVTAU;SPEVIVDAT;SPEDIVTAU;SPEDIVDAT;CINARTDAT;CINARTTAU;EXOCINDAT;EXOCINTAU;EXOCINREDDAT;EXOCINREDTAU;EXOMEDANCDAT;EXOAUXANCDAT;EXOMEDNOUVDAT;EXOMEDNOUVDUR;EXOAUXNOUVDAT;EXOAUXNOUVDUR;EXOVETODAT;EXOVETODUR;MEDDEFDAT;MEDDEFDUR;AUXMEDDEFDAT;AUXMEDDEFDUR;ANTPOLEAUDAT2;ANTPOLAIRDAT2;ANTBRUECODAT;ANTBRUREDDAT;DIFPREDAT;DIFPREMONT;DIFPRE1600DAT;DIFPRE2400DAT;DIFPRE3200DAT;EXOLIBLABDAT;EXODISQDAT;CREMUNTAU;CREMUNDAT;EXOPATDAT;EXOLIBNONLAB;COOPAGRDAT;AMECREINDTAU1;AMECREINDTAU2;AMECREINDTAU3;AMECREINDTAU4;AMECREINDTAU5;AMECREINDDAT;AMEEXTINDTAU1;AMEEXTINDTAU2;AMEEXTINDTAU3;AMEEXTINDTAU4;AMEEXTINDTAU5;AMEEXTINDDAT;AMETADIFTTAU1;AMETADIFTTAU2;AMETADIFTTAU3;AMETADIFTTAU4;AMETADIFTTAU5;AMETADIFTDAT;AMEETAIND1;AMEETAIND2;AMEETAIND3;AMEETAIND4;AMEETAIND5;AMEETAINDDAT;AMECRERECTAU1;AMECRERECTAU2;AMECRERECTAU3;AMECRERECTAU4;AMECRERECTAU5;AMECRERECDAT;AMEEXTRECTAU1;AMEEXTRECTAU2;AMEEXTRECTAU3;AMEEXTRECTAU4;AMEEXTRECTAU5;AMEEXTRECDAT;AMEREPRECTAU1;AMEREPRECTAU2;AMEREPRECTAU3;AMEREPRECTAU4;AMEREPRECTAU5;AMEREPRECDAT;AMECONRECTAU1;AMECONRECTAU2;AMECONRECTAU3;AMECONRECTAU4;AMECONRECTAU5;AMECONRECDAT;AMEDIRCRETAU1;AMEDIRCRETAU2;AMEDIRCRETAU3;AMEDIRCRETAU4;AMEDIRCRETAU5;AMEDIRCREDAT;AMEDIREXTTAU1;AMEDIREXTTAU2;AMEDIREXTTAU3;AMEDIREXTTAU4;AMEDIREXTTAU5;AMEDIREXTDAT;AMEDIRREPTAU1;AMEDIRREPTAU2;AMEDIRREPTAU3;AMEDIRREPTAU4;AMEDIRREPTAU5;AMEDIRREPDAT;AMEDIRCONTAU1;AMEDIRCONTAU2;AMEDIRCONTAU3;AMEDIRCONTAU4;AMEDIRCONTAU5;AMEDIRCONDAT;AMECREINDIMMDAT;AMEEXTINDIMMDAT;AMEREPINDIMMDAT;AMECONINDIMMDAT;AMECRERECIMMDAT;AMEEXTRECIMMDAT;AMECREDIRIMMDAT;AMEEXTDIRIMMDAT;AMEREPRECDIRIMMDAT;AMECONRECDIRIMMDAT;CFESUPMEUTOUDAT;CFESUPMEURAIDAT;CFESUPZFUDAT2;CFESUPZFDOMDAT;CFESUPBERDAT2;CFESUPZRRDAT;CFESUPABDEGDAT;CFESUPQPDAT;CVAESUPMEUTOUDAT;CVAESUPMEURAIDAT;CVAESUPZFUDAT2;CVAESUPBERDAT2;CVAESUPZRRDAT;CVAESUPABDEGDAT;CVAESUPQPDAT;CVAESUPZFDOMDAT;IFERNUCDAT;IFERPHODAT;IFERTRADAT;IFERANTDAT;IFERGAZDAT;IFEREOLDAT;IFEREOLTAU;REVFNGIRDAT;PRELFNGIRDAT;DCRTPDAT;TASCOMDAT;CVAEREPARTDAT;CVAEREPARTTAU;TOMCOMDAT;TOMGRPDAT;TOMSYNDAT;PLAFTEOMDAT;PLAFTEOMCOEF;SUPEXOTEOMDAT;PLAFTEOMGRPDAT;PLAFTEOMGRPCOEF;SUPEXOTEOMGRPDAT;PLAFTEOMSYNDAT;PLAFTEOMSYNCOEF;SUPEXOTEOMSYNDAT;TIEOMCOMDAT;TIEOMGRPDAT;TIEOMSYNDAT;ROMCOMDAT;ROMGRPDAT;ROMSYNDAT;ROMGRPDAT2;TAXBALDAT;TAXBALTAU;TAXPYLEPCIDAT;TASCOMCOEDAT;GEMAPIDAT;TAXEAUMINDAT;TAXEAUMINTARIF;PARISNONHABITA
16;CHARENTE;16009;9;AMBERNAC;N;26/10/17;26/10/17;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;24/03/05;5;24/03/05;5;24/03/05;5;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;100;100;100;100;100;1992-07-04;100;100;100;100;100;1992-07-04;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-27;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16014;14;ANGEDUC;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2012-09-13;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16015;15;ANGOULEME;N;;;2008-08-07;;NA;1989-06-26;2;1989-06-26;2;1989-06-26;2;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;2021-09-22;50;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;20;30;40;2021-09-22;;;;;NA;;;22/09/21;8;;2019-09-25;2021-09-22;8;22/09/21;5;2021-09-22;5;2021-09-22;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;2;1989-06-26;2;1989-06-26;1989-06-26;2;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;100;100;100;100;100;1995-03-30;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-28;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16018;18;ARS;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;5;1993-02-23;5;1993-02-23;5;1993-02-23;5;1993-02-23;5;1993-02-23;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;2005-12-10;2017-09-28;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16029;29;BARDENAC;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-28;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16030;30;BARRET;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;100;100;100;100;0;2066-04-12;100;100;100;100;0;2066-04-12;100;100;100;100;0;1993-11-25;100;100;100;100;0;1993-11-25;100;100;100;100;0;2066-04-12;100;100;100;100;0;2066-04-12;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;100;100;100;100;0;2066-04-12;100;100;100;100;0;2066-04-12;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2012-09-13;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16035;35;BEAULIEU-SUR-SONNETTE;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;2;2004-03-26;2;2004-03-26;2004-03-26;2;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-27;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16037;37;BELLON;N;;;;;NA;2000-06-13;2;2000-06-13;2;2000-06-13;2;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;2;2000-06-13;2;2000-06-13;2000-06-13;2;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-28;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16046;46;COTEAUX DU BLANZACAIS;N;;;2019-03-27;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2012-09-13;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
16;CHARENTE;16054;54;LE BOUCHAGE;N;;;;;NA;;NA;;NA;;NA;;;NA;;0;;0;;;;;;;NA;NA;;NA;;;;;;;;;;;NA;NA;NA;NA;;NA;NA;;NA;;;NA;;;;;NA;;NA;;;NA;NA;;;;;;;;;NA;;NA;NA;NA;NA;;;NA;;;;;NA;NA;NA;NA;;NA;NA;NA;;;;;;NA;;;;NA;;;;NA;;NA;;NA;;NA;;NA;;NA;;NA;NA;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;;;NA;NA;NA;;NA;NA;;;;NA;NA;;0;NA;0;NA;;NA;;NA;;NA;;NA;;NA;;NA;;;NA;;NA;;NA;;;;NA;;NA;;NA;NA;NA;NA;NA;;;;;;0;;;;;;NA;;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;;;;;;;;;NA;NA;;;;NA;;;NA;;;;;;;NA;;NA;NA;;NA;;NA;NA;NA;;;;;NA;NA;;2017-09-27;;;NA;;;NA;;;NA;;NA;;;;;;;;;NA;;NA;;;NA
